,신고자명,구분,URL,비고(특이사항 등),joined_date,tweet_date,tweet_time,link,retweets,favorites,num_tweets,num_following,num_follower,content
0,윤이삭,불법거래,https://twitter.com/oldpooh18,트위터,2015년 3월 13일,2020-04-17,07:45:36,https://twitter.com/oldpooh18/status/1251054186529054720,0,0,112,100,1, 위치추적 디비해킹 디도스공격 해킹디비 비밀번호해킹 카카오톡해킹 스마트폰해킹 #인스타해킹 #트위터해킹 #페이스북해킹
1,윤이삭,불법거래,https://twitter.com/Sweet53986249,트위터,2020년 4월 14일,2020-04-17,07:44:39,https://twitter.com/Sweet53986249/status/1251053948565286916,0,0,4,더 보기,1,★디비의 모든것★ 용도와 상황에 맞게 최대한 맞춰드립니다 #DB판매 주식 대출 FX 토토풀디비 카지노 릴게임 맘까페 티클래식 텔레그램 : kakas13 텔레문의주세요 ★AS해드립니다
2,윤이삭,불법거래,https://twitter.com/Sweet53986249,트위터,2020년 4월 14일,2020-04-17,07:43:57,https://twitter.com/Sweet53986249/status/1251053774547726338,0,0,4,더 보기,1,★디비의 모든것★ 용도와 상황에 맞게 최대한 맞춰드립니다 #DB판매 주식 대출 FX 토토풀디비 카지노 릴게임 맘까페 티클래식 텔레그램 : kakas13 텔레문의주세요 ★AS해드립니다★
